reference_number,origin,destination,rate_total_usd,rate_per_mile,company,contact,age_posted,extracted_at
AUTO_QMFRZXJZ,"Bakersfield, CADenver, CO","Denver, CO",,,Scotlynn Transport LLC/Scotlynn Commodities Inc,(239) 210-3000,14h,2025-08-18T06:40:07.192Z
AUTO_U2FSAW5H,"Salinas, CADenver, CO","Denver, CO",,,Rwi Logistics Llc,(859) 905-2970,6h,2025-08-18T06:40:10.741Z
AUTO_U2FUDGEG,"Santa Rosa, CAHenderson, CO","Henderson, CO",,,Companion Logistics Corporation,(608) 574-3171,14h,2025-08-18T06:40:17.386Z
AUTO_U2FJCMFT,"Sacramento, CADenver, CO","Denver, CO",,,Covar Transportation,(480) 908-4654,15h,2025-08-18T06:40:19.364Z
AUTO_RNJLC25V,"Fresno, CADenver, CO","Denver, CO",,,Uber Freight LLC,(628) 236-8343,2h,2025-08-18T06:40:21.202Z


AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:37:29.360Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:37:31.265Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,8h,2025-09-01T01:37:33.472Z
AUTO_R3JLZWXL,"Greeley, COVisalia, CA","Visalia, CA",1200,1,Armstrong Transport Group Inc,(844) 813-3266,34m,2025-09-01T01:37:34.940Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:37:51.832Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:37:54.158Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,8h,2025-09-01T01:37:56.132Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:38:22.175Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:38:23.823Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,8h,2025-09-01T01:38:25.692Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:38:52.174Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:38:53.978Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,8h,2025-09-01T01:38:55.947Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:39:22.676Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:39:24.599Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,8h,2025-09-01T01:39:26.691Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:39:52.288Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:39:53.931Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,8h,2025-09-01T01:39:55.627Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:40:22.625Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:40:24.927Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,8h,2025-09-01T01:40:27.180Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:40:52.030Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:40:54.214Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,8h,2025-09-01T01:40:55.852Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:41:22.191Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:41:24.061Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,8h,2025-09-01T01:41:25.431Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:41:52.065Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:41:54.075Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,8h,2025-09-01T01:41:55.850Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:42:22.085Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:42:24.292Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,8h,2025-09-01T01:42:26.252Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:42:52.214Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:42:53.959Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,8h,2025-09-01T01:42:55.724Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:43:21.934Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:43:23.960Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,8h,2025-09-01T01:43:25.482Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:43:52.279Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:43:54.268Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,8h,2025-09-01T01:43:56.261Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:44:22.213Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:44:23.579Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,8h,2025-09-01T01:44:25.199Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:44:51.913Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:44:53.511Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,8h,2025-09-01T01:44:55.011Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:45:22.177Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:45:24.097Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,8h,2025-09-01T01:45:26.248Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:45:52.405Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:45:54.155Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,8h,2025-09-01T01:45:55.968Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:46:22.022Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:46:23.830Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,8h,2025-09-01T01:46:26.048Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:46:51.825Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:46:53.163Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,8h,2025-09-01T01:46:54.519Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:47:22.265Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:47:24.152Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,8h,2025-09-01T01:47:25.872Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:47:52.463Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:47:54.462Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,9h,2025-09-01T01:47:56.079Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:48:22.477Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:48:23.930Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,9h,2025-09-01T01:48:25.638Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:48:51.987Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:48:53.605Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,9h,2025-09-01T01:48:55.737Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:49:21.943Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:49:23.534Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,9h,2025-09-01T01:49:25.257Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:49:52.493Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:49:54.404Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,9h,2025-09-01T01:49:56.310Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:50:22.112Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:50:23.717Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,9h,2025-09-01T01:50:25.840Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:50:52.440Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:50:54.355Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,9h,2025-09-01T01:50:56.036Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:51:22.282Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:51:24.238Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,9h,2025-09-01T01:51:25.938Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:51:52.520Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T01:51:53.924Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,9h,2025-09-01T01:51:55.401Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T02:07:49.445Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T02:24:48.377Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,9h,2025-09-01T02:24:50.511Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T02:24:48.782Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T02:24:50.392Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,9h,2025-09-01T02:24:52.239Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T02:40:13.671Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T02:40:15.562Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,9h,2025-09-01T02:40:17.248Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T02:52:43.191Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T02:52:44.823Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,9h,2025-09-01T02:52:46.781Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T03:10:19.258Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T03:10:21.178Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,9h,2025-09-01T03:10:22.783Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T03:49:49.306Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T03:49:51.043Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,9h,2025-09-01T03:49:52.652Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T03:53:01.227Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T03:53:03.208Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,9h,2025-09-01T03:53:05.324Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T04:21:09.220Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T04:21:11.044Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,9h,2025-09-01T04:21:12.399Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T04:37:54.270Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T04:37:55.796Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,9h,2025-09-01T04:37:57.509Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T04:54:01.076Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,5h,2025-09-01T04:54:02.591Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,9h,2025-09-01T04:54:04.225Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,8h,2025-09-01T06:04:44.168Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,8h,2025-09-01T06:19:43.952Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,12h,2025-09-01T06:19:45.517Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,8h,2025-09-01T06:19:45.291Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,8h,2025-09-01T06:19:47.313Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,12h,2025-09-01T06:19:49.740Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,8h,2025-09-01T06:35:31.533Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,8h,2025-09-01T06:35:32.971Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,12h,2025-09-01T06:35:34.922Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,8h,2025-09-01T06:50:49.479Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,8h,2025-09-01T06:50:51.431Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,12h,2025-09-01T06:50:53.025Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,8h,2025-09-01T06:57:48.149Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,8h,2025-09-01T06:57:50.077Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,12h,2025-09-01T06:57:52.093Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,8h,2025-09-01T07:15:22.307Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,8h,2025-09-01T07:15:24.398Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,14h,2025-09-01T07:15:25.852Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,10h,2025-09-01T07:32:53.349Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,10h,2025-09-01T07:32:55.365Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,14h,2025-09-01T07:32:57.472Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,10h,2025-09-01T07:50:49.340Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,10h,2025-09-01T07:50:50.893Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,14h,2025-09-01T07:50:52.387Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,10h,2025-09-01T08:08:28.456Z
