Origin,Destination,Equipment Type,Weight,Rate,Trip Distance,Company,Contact Info,Load Requirements,Pickup Date,Delivery Date,Load Type,Age Posted,Extracted At
"Reno, NVAurora, CO","Aurora, CO",N/A,N/A,"$1,500$1.43*/mi",N/A,Axle Logistics LLC,tanner.cox@axlelogistics.com,N/A,N/A,N/A,N/A,33m,2025-07-27T18:05:18.777Z
"Oroville, CAFt Collins, CO","Ft Collins, CO",N/A,N/A,"$2,700$2.42*/mi",N/A,Echo Global Logistics Inc,(231) 499-2268,N/A,N/A,N/A,N/A,34m,2025-07-27T18:05:20.918Z
"Minden, NVAurora, CO","Aurora, CO",N/A,N/A,–,N/A,RXO Capacity Solutions LLC,(872) 282-5528,N/A,N/A,N/A,N/A,34m,2025-07-27T18:05:23.052Z
"Chico, CAAurora, CO","Aurora, CO",N/A,N/A,"$2,995$2.44*/mi",N/A,HUB GROUP INC,(410) 673-1240 x855,N/A,N/A,N/A,N/A,44m,2025-07-27T18:05:25.197Z
"Chico, CAAurora, CO","Aurora, CO",N/A,N/A,"$2,995$2.44*/mi",N/A,HUB GROUP INC,(410) 673-1240 x855,N/A,N/A,N/A,N/A,44m,2025-07-27T18:05:27.338Z
"Chico, CAAurora, CO","Aurora, CO",N/A,N/A,"$3,000$2.46*/mi",N/A,HUB Group Inc - Pittsburgh,(410) 673-1240 x855,N/A,N/A,N/A,N/A,44m,2025-07-27T18:05:29.471Z
"Chico, CAAurora, CO","Aurora, CO",N/A,N/A,"$2,745$2.23*/mi",N/A,HUB Group Inc - Pittsburgh,(410) 673-1240 x855,N/A,N/A,N/A,N/A,44m,2025-07-27T18:05:31.596Z
"Shafter, CAAurora, CO","Aurora, CO",N/A,N/A,–,N/A,Ryan Transportation Service Inc,(913) 553-5501,N/A,N/A,N/A,N/A,44m,2025-07-27T18:05:33.736Z
"Shafter, CAAurora, CO","Aurora, CO",N/A,N/A,–,N/A,Ryan Transportation Service Inc,(913) 553-5501,N/A,N/A,N/A,N/A,44m,2025-07-27T18:05:35.877Z
"Sebastopol, CAJohnstown, CO","Johnstown, CO",N/A,N/A,"$2,250$1.80*/mi",N/A,Exodus Logistix Inc,(918) 303-5777,N/A,N/A,N/A,N/A,44m,2025-07-27T18:05:38.013Z
"Fallon, NVAurora, CO","Aurora, CO",N/A,N/A,–,N/A,Watco Supply Chain Services,(479) 717-6698,N/A,N/A,N/A,N/A,55m,2025-07-27T18:05:40.156Z
"Shasta Lake, CADenver, CO","Denver, CO",N/A,N/A,"$3,000$2.40*/mi",N/A,T A Services Inc Formerly Team America Inc,sstephens@taservices.com,N/A,N/A,N/A,N/A,59m,2025-07-27T18:05:42.297Z
"W Sacramento, CALoveland, CO","Loveland, CO",N/A,N/A,"$2,831$2.48*/mi",N/A,Nolan Transportation Group Inc,(770) 509-9611,N/A,N/A,N/A,N/A,2h,2025-07-27T18:05:44.443Z
"W Sacramento, CAPueblo, CO","Pueblo, CO",N/A,N/A,"$2,532$1.96*/mi",N/A,Nolan Transportation Group Inc,(770) 509-9611,N/A,N/A,N/A,N/A,2h,2025-07-27T18:05:46.574Z
"Corcoran, CADenver, CO","Denver, CO",N/A,N/A,"$2,619$2.39*/mi",N/A,Nolan Transportation Group Inc,(770) 509-9611,N/A,N/A,N/A,N/A,2h,2025-07-27T18:05:48.713Z
"Visalia, CAAurora, CO","Aurora, CO",N/A,N/A,–,N/A,Bison Transport USA,SHill@bisontransport.com,N/A,N/A,N/A,N/A,5h,2025-07-27T18:05:50.857Z
"Fremont, CAAurora, CO","Aurora, CO",N/A,N/A,"$1,180$0.92*/mi",N/A,Flock Freight Inc,(858) 258-9762,N/A,N/A,N/A,N/A,1d,2025-07-27T18:05:52.993Z
"Fremont, CAAurora, CO","Aurora, CO",N/A,N/A,"$1,180$0.92*/mi",N/A,Flock Freight Inc,(858) 293-5482,N/A,N/A,N/A,N/A,1d,2025-07-27T18:05:55.134Z
"Benicia, CATorrington, WY","Torrington, WY",N/A,N/A,–,N/A,Star American Freight Brokers Inc,dispatch@staramericanfreight.com,N/A,N/A,N/A,N/A,1d,2025-07-27T18:05:57.254Z
"Modesto, CAAurora, CO","Aurora, CO",N/A,N/A,"$2,700$2.15*/mi",N/A,Prosponsive Logistics,(800) 533-3922 x4016,N/A,N/A,N/A,N/A,1d,2025-07-27T18:05:59.397Z
"Visalia, CACommerce City, CO","Commerce City, CO",N/A,N/A,–,N/A,Werner Enterprises Inc,agarrett@werner.com,N/A,N/A,N/A,N/A,1d,2025-07-27T18:06:01.555Z
"Fresno, CAAurora, CO","Aurora, CO",N/A,N/A,–,N/A,STG Logistics/Best Dedicated Solutions,(224) 206-7576,N/A,N/A,N/A,N/A,1d,2025-07-27T18:06:03.695Z
"Corcoran, CAColorado Spgs, CO","Colorado Spgs, CO",N/A,N/A,–,N/A,Corporate Traffic Inc,(904) 720-2936,N/A,N/A,N/A,N/A,1d,2025-07-27T18:06:05.837Z
"Fernley, NVAurora, CO","Aurora, CO",N/A,N/A,"$2,300$2.26*/mi",N/A,Amx Logistics,jboyd@amxtrucking.com,N/A,N/A,N/A,N/A,1d,2025-07-27T18:06:07.970Z
"Sacramento, CADenver, CO","Denver, CO",N/A,N/A,"$2,500$2.12*/mi",N/A,Total Quality Logistics Inc,(800) 580-3101 x55328,N/A,N/A,N/A,N/A,1d,2025-07-27T18:06:10.119Z
